sep=|
Module|template|Desc|para0|para1|para2|para3|para4|para5|para4.0|para4.1|para4.2|para4.3
uniequip_002_cgbird_10|EquipmentSkillCastStage|3星通关主题曲3-6；必须编入非助战夜莺并上场，且使用10次法术护盾|3|main_03-06|skchr_cgbird_2|10|char_179_cgbird||10|||
uniequip_001_plosis_11|EquipmentSkillCast|战斗中非助战白面鸮累计使用脑啡肽8次|char_128_plosis|skchr_plosis_2|8|char_128_plosis|||char_128_plosis|||
uniequip_002_plosis_12|EquipmentSquadProEx|3星通关主题曲4-9；必须编入非助战白面鸮并上场，且不编入其他医疗和重装干员|3|main_04-09|char_128_plosis|MEDIC;TANK|||MEDIC|||
uniequip_001_breeze_13|EquipmentEventTotal|战斗中非助战微风累计发射50枚医疗弹|char_275_breeze|PROJECTILEBORN,char_275_breeze,projectile_breeze_s2|50|||||||
uniequip_002_breeze_14|EquipmentSquadNum|3星通关主题曲4-1；必须编入非助战微风并上场，其他成员仅可编入7名干员|3|main_04-01|char_275_breeze|7|||7|||
uniequip_001_flower_15|EquipmentDeployStage|完成5次战斗；每次战斗中至少部署1次非助战调香师|5|1|char_181_flower|char_181_flower|||char_181_flower|||
uniequip_002_flower_16|EquipmentSquadProEx|3星通关主题曲3-4；且仅可编入非助战调香师1名医疗干员并上场|3|main_03-04|char_181_flower|MEDIC|||MEDIC|||
uniequip_002_phatom_1|EquipmentCharKilled|由非助战傀影累计造成70歼灭数|char_250_phatom;token_10007_phatom_twin|70|char_250_phatom|||||||
uniequip_002_phatom_2|EquipmentEventStageMore|3星通关主题曲3-6；必须编入非助战傀影并上场，且使用傀影至少歼灭6个隐形术师|3|main_03-06|char_250_phatom|DEATHDETAIL,char_250_phatom,enemy_1023_jmage;DEATHDETAIL,token_10007_phatom_twin,enemy_1023_jmage|6||DEATHDETAIL|char_250_phatom|enemy_1023_jmage|
uniequip_002_kafka_1|EquipmentEventTotal|由非助战卡夫卡使用技能累计歼灭50名敌人|char_214_kafka|DEATHDETAIL,char_214_kafka,ability|50|||||||
uniequip_002_kafka_2|EquipmentEventStageMore|3星通关主题曲2-7；必须编入非助战卡夫卡并上场，且使用卡夫卡技能至少歼灭10名敌人|3|main_02-07|char_214_kafka|DEATHDETAIL,char_214_kafka,ability|10||DEATHDETAIL|char_214_kafka|ability|
uniequip_002_red_1|EquipmentDeployStage|完成5次战斗；每次战斗至少部署3次非助战的红|5|3|char_144_red|char_144_red|||char_144_red|||
uniequip_002_red_2|EquipmentEventStageMore|3星通关主题曲S4-5；必须编入非助战红并上场，且使用红至少歼灭4个高能源石虫|3|sub_04-2-2|char_144_red|DEATHDETAIL,char_144_red,enemy_1021_bslime|4||DEATHDETAIL|char_144_red|enemy_1021_bslime|
uniequip_002_waaifu_1|EquipmentEventTotal|由非助战槐琥使用技能七武掠阵踢累计歼灭50只感染生物|char_243_waaifu|DEATHDETAIL,char_243_waaifu,skchr_waaifu_2,infection|50|||||||
uniequip_002_waaifu_2|EquipmentSquadNum|3星通关主题曲4-7；必须编入非助战槐琥并上场，其他成员仅可编入6名干员|3|main_04-07|char_243_waaifu|6|||6|||
uniequip_002_gravel_1|EquipmentDeployStage|完成5次战斗；每次战斗至少部署4次非助战的砾|5|4|char_237_gravel|char_237_gravel|||char_237_gravel|||
uniequip_002_gravel_2|EquipmentSquadNoAnyDead|3星通关主题曲4-8；必须编入非助战砾并上场，且所有干员不被击倒|3|main_04-08|char_237_gravel|||||||
uniequip_002_pasngr_1|EquipmentSkillCast|战斗中非助战异客累计使用辉煌裂片30次|char_472_pasngr|skchr_pasngr_3|30|char_472_pasngr|||char_472_pasngr|||
uniequip_002_pasngr_2|EquipmentSquadPro|3星通关主题曲2-2；必须编入非助战异客并上场，其他成员仅可编入先锋和重装干员|3|main_02-02|char_472_pasngr|13,PIONEER;13,TANK|||13|PIONEER||
uniequip_002_leizi_1|EquipmentEventTotal|由非助战惊蛰使用技能初雷累计歼灭50名敌人|char_306_leizi|DEATHDETAIL,char_306_leizi,1|50|||||||
uniequip_002_leizi_2|EquipmentEventStageMore|3星通关主题曲S3-6；必须编入非助战惊蛰并上场，且使用惊蛰至少歼灭1个屠夫|3|sub_03-3-1|char_306_leizi|DEATHDETAIL,char_306_leizi,enemy_1034_laxe|1||DEATHDETAIL|char_306_leizi|enemy_1034_laxe|
uniequip_002_pudd_1|EquipmentDamageTotal|由非助战布丁累计造成150000点伤害|char_4004_pudd|150000||||||||
uniequip_002_pudd_2|EquipmentEventStageMore|3星通关主题曲2-10；必须编入非助战布丁并上场，且布丁使用技能扩散电流至少歼灭2个重装防御者|3|main_02-10|char_4004_pudd|DEATHDETAIL,char_4004_pudd,1,enemy_1006_shield|2||DEATHDETAIL|char_4004_pudd|1|enemy_1006_shield
uniequip_002_chen_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战陈并上场，且每次战斗至少释放一次赤霄·拔刀或赤霄·绝影|5|skchr_chen_2;skchr_chen_3|1|char_010_chen|||char_010_chen|||
uniequip_002_chen_2|EquipmentCharKilledStage|3星通关主题曲5-8；必须编入非助战陈并上场，且使用陈至少歼灭16名敌人|3|main_05-08|char_010_chen|16|char_010_chen||16|||
uniequip_002_tachak_1|EquipmentDamageTotal|由非助战战车累计造成150000点伤害|char_459_tachak|150000||||||||
uniequip_002_tachak_2|EquipmentSquadPro|使用至多2人（包含助战）的队伍3星通关主题曲S2-3；必须编入非助战战车并上场，其他成员仅可编入重装干员|3|sub_02-03|char_459_tachak|1,TANK|||1|TANK||
uniequip_002_bibeak_1|EquipmentSkillCast|战斗中非助战柏喙累计使用异刃斩16次|char_252_bibeak|skchr_bibeak_2|16|char_252_bibeak|||char_252_bibeak|||
uniequip_002_bibeak_2|EquipmentEventStageMore|3星通关主题曲3-7；必须编入非助战柏喙并上场，且使用柏喙歼灭至少1个重装防御组长|3|main_03-07|char_252_bibeak|DEATHDETAIL,char_252_bibeak,enemy_1006_shield_2|1||DEATHDETAIL|char_252_bibeak|enemy_1006_shield_2|
uniequip_002_cutter_1|EquipmentEventBattleMore|完成5次战斗；必须编入非助战刻刀并上场，且每次战斗刻刀至少歼灭3个无人机敌人|5|char_301_cutter|DEATHDETAIL,char_301_cutter,drone|3|||3|||
uniequip_002_cutter_2|EquipmentEventStageMore|3星通关主题曲2-7；必须编入非助战刻刀并上场，且刻刀使用技能绯红刺刀歼灭至少2个御4|3|main_02-07|char_301_cutter|DEATHDETAIL,char_301_cutter,skchr_cutter_2,enemy_1017_defdrn|2||DEATHDETAIL|char_301_cutter|skchr_cutter_2|enemy_1017_defdrn
uniequip_002_bpipe_1|EquipmentCharKilled|由非助战风笛累计造成80歼灭数|char_222_bpipe|80|char_222_bpipe|||||||
uniequip_002_bpipe_2|EquipmentEventStageMore|3星通关主题曲4-5；必须编入非助战风笛并上场，且使用风笛歼灭至少4个法术近卫|3|main_04-05|char_222_bpipe|DEATHDETAIL,char_222_bpipe,enemy_1031_mrogue|4||DEATHDETAIL|char_222_bpipe|enemy_1031_mrogue|
uniequip_002_grani_1|EquipmentDeployCharOrder|完成5次战斗；必须编入非助战格拉尼，并确定第一位部署的干员是格拉尼|5|1|char_220_grani|||||||
uniequip_002_grani_2|EquipmentCharKilledStage|3星通关别传GT-6；必须编入非助战格拉尼并上场，且使用格拉尼歼灭8个敌人|3|a001_06|char_220_grani|8|char_220_grani||8|||
uniequip_002_wildmn_1|EquipmentDeployCharOrder|完成5次战斗；必须编入非助战野鬃，并确定第一位部署的干员是野鬃|5|1|char_496_wildmn|||||||
uniequip_002_wildmn_2|EquipmentSquadProEx|3星通关别传MN-2；必须编入非助战野鬃并上场，其他成员不可编入先锋干员|3|act13d5_02|char_496_wildmn|PIONEER|||PIONEER|||
uniequip_002_sddrag_1|EquipmentCharKilled|由非助战苇草累计造成70歼灭数|char_261_sddrag|70|char_261_sddrag|||||||
uniequip_002_sddrag_2|EquipmentSquadProEx|3星通关主题曲9-5标准实战环境；必须编入非助战苇草并上场，其他成员不可编入先锋干员|3|main_09-04|char_261_sddrag|PIONEER|||PIONEER|||
uniequip_002_vigna_1|EquipmentDeployCharOrder|完成5次战斗；必须编入非助战红豆，并确定第一位部署的干员是红豆|5|1|char_290_vigna|||||||
uniequip_002_vigna_2|EquipmentCharKilledStage|3星通关主题曲3-3；必须编入非助战红豆并上场，且使用红豆歼灭8个敌人|3|main_03-03|char_290_vigna|8|char_290_vigna||8|||
uniequip_002_nearl2_1|EquipmentCharKilled|由非助战耀骑士临光累计造成100歼灭数|char_1014_nearl2;token_10019_nearl2_sword|100|char_1014_nearl2|||||||
uniequip_002_nearl2_2|EquipmentEventStageMore|3星通关别传MN-8；必须编入非助战耀骑士临光并上场，且使用耀骑士临光歼灭至少1个腐败骑士或凋零骑士|3|act13d5_08|char_1014_nearl2|DEATHDETAIL,char_1014_nearl2,enemy_1513_dekght,enemy_1513_dekght_2|1||DEATHDETAIL|char_1014_nearl2|enemy_1513_dekght|enemy_1513_dekght_2
uniequip_002_skadi_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战斯卡蒂并上场，且使用斯卡蒂歼灭至少5个敌人|5|char_263_skadi|5|||||||
uniequip_002_skadi_2|EquipmentEventStageMore|3星通关别传GT-6；必须编入非助战斯卡蒂并上场，且使用斯卡蒂歼灭至少1个大鲍勃|3|a001_06|char_263_skadi|DEATHDETAIL,char_263_skadi,enemy_1001_bigbo|1||DEATHDETAIL|char_263_skadi|enemy_1001_bigbo|
uniequip_002_flameb_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战炎客并上场，且使用炎客发动至少1次刃鬼|5|skchr_flameb_2|1|char_131_flameb|||char_131_flameb|||
uniequip_002_flameb_2|EquipmentEventStageMore|3星通关主题曲S4-3；必须编入非助战炎客并上场，且使用炎客歼灭至少3个萨卡兹敌人|3|sub_04-1-3|char_131_flameb|DEATHDETAIL,char_131_flameb,sarkaz|3||DEATHDETAIL|char_131_flameb|sarkaz|
uniequip_002_franka_1|EquipmentBattleCharDamage|完成5次战斗；必须编入非助战芙兰卡并上场，且使用芙兰卡造成至少18000点伤害|5|char_106_franka|18000|||||||
uniequip_002_franka_2|EquipmentEventStageMore|3星通关主题曲9-3标准实战环境；必须编入非助战芙兰卡并上场，且使用芙兰卡歼灭至少1个深池重甲卫士|3|main_09-02|char_106_franka|DEATHDETAIL,char_106_franka,enemy_1170_dushld|1||DEATHDETAIL|char_106_franka|enemy_1170_dushld|
uniequip_002_peacok_1|EquipmentBattleCharDamage|完成5次战斗；必须编入非助战断罪者并上场，且使用断罪者造成至少15000点伤害|5|char_159_peacok|15000|||||||
uniequip_002_peacok_2|EquipmentSquadPro|3星通关主题曲2-4；必须编入非助战断罪者并上场，其他成员仅可编入特种干员|3|main_02-04|char_159_peacok|13,SPECIAL|||13|SPECIAL||
uniequip_002_gyuki_1|EquipmentBattleCharDamage|完成5次战斗；必须编入非助战缠丸并上场，且使用缠丸造成至少15000点伤害|5|char_289_gyuki|15000|||||||
uniequip_002_gyuki_2|EquipmentEventStageMore|3星通关主题曲S2-10；必须编入非助战缠丸并上场，且使用缠丸歼灭至少2个高阶术师|3|sub_02-10|char_289_gyuki|DEATHDETAIL,char_289_gyuki,enemy_1018_aoemag|2||DEATHDETAIL|char_289_gyuki|enemy_1018_aoemag|
uniequip_002_nothin_1|EquipmentDeployCharAndKillCnt|完成5次战斗；必须编入非助战乌有并部署至少2次，且使用乌有歼灭至少4名敌人|5|2|char_455_nothin|char_455_nothin|4||char_455_nothin|||
uniequip_002_nothin_2|EquipmentEventStageMore|3星通关主题曲3-7；必须编入非助战乌有并上场，且使用乌有歼灭至少2个炮手|3|main_03-07|char_455_nothin|DEATHDETAIL,char_455_nothin,enemy_1024_mortar|2||DEATHDETAIL|char_455_nothin|enemy_1024_mortar|
uniequip_002_strong_1|EquipmentDeployCharAndKillCnt|完成5次战斗；必须编入非助战孑并部署至少2次，且使用孑歼灭至少3名敌人|5|2|char_272_strong|char_272_strong|3||char_272_strong|||
uniequip_002_strong_2|EquipmentEventStageMore|3星通关主题曲S3-2；必须编入非助战孑并上场，且使用孑歼灭至少8个源石虫·β|3|sub_03-1-2|char_272_strong|DEATHDETAIL,char_272_strong,enemy_1007_slime_3|8||DEATHDETAIL|char_272_strong|enemy_1007_slime_3|
uniequip_002_lmlee_1|EquipmentCharKilled|由非助战老鲤累计造成80歼灭数|char_322_lmlee|80|char_322_lmlee|||||||
uniequip_002_lmlee_2|EquipmentSquadPro|3星通关主题曲3-1；必须编入非助战老鲤并上场，其他成员仅可编入狙击、先锋与医疗干员|3|main_03-01|char_322_lmlee|13,SNIPER;13,PIONEER;13,MEDIC|||13|SNIPER||
uniequip_002_ling_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战令并上场，且使用令与令的召唤物歼灭至少7名敌人|5|char_2023_ling,token_10020_ling_soul1,token_10020_ling_soul2,token_10020_ling_soul3|7|||||||
uniequip_002_ling_2|EquipmentStageDeployCntAndSpec|3星通关主题曲3-4；必须编入非助战令并上场，且整场战斗仅部署过令与至多4位其他干员|3|main_03-04|char_2023_ling|4|||4|||
uniequip_002_cqbw_1|EquipmentEventTotal|由非助战W累计造成80歼灭数|char_113_cqbw|DEATHDETAIL,char_113_cqbw,killcount|80|||||||
uniequip_002_cqbw_2|EquipmentEventStageMore|3星通关插曲DM-3；必须编入非助战W并上场，且使用W歼灭至少2个萨卡兹穿刺手|3|act9d0_03|char_113_cqbw|DEATHDETAIL,char_113_cqbw,enemy_1072_dlancer|2||DEATHDETAIL|char_113_cqbw|enemy_1072_dlancer|
uniequip_002_phenxi_1|EquipmentDamageTotal|由非助战菲亚梅塔累计造成180000点伤害|char_300_phenxi|180000||||||||
uniequip_002_phenxi_2|EquipmentDamageStage|3星通关主题曲S5-9；必须编入非助战菲亚梅塔并上场，且使用菲亚梅塔造成至少60000点伤害|3|sub_05-4-3|char_300_phenxi|60000|||60000|||
uniequip_002_meteo_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战陨星并上场，且使用陨星歼灭至少10名敌人|5|char_219_meteo|10|||||||
uniequip_002_meteo_2|EquipmentSquadPro|3星通关主题曲2-4；必须编入非助战陨星并上场，其他成员仅可编入先锋与医疗干员|3|main_02-04|char_219_meteo|13,PIONEER;13,MEDIC|||13|PIONEER||
uniequip_002_sesa_1|EquipmentBattleCharDamage|完成5次战斗；必须编入非助战慑砂并上场，且使用慑砂造成至少25000点伤害|5|char_379_sesa|25000|||||||
uniequip_002_sesa_2|EquipmentEventStageMore|3星通关主题曲S3-6; 必须编入非助战慑砂并上场，且使用慑砂歼灭至少10个源石虫·β|3|sub_03-3-1|char_379_sesa|DEATHDETAIL,char_379_sesa,enemy_1007_slime_3|10||DEATHDETAIL|char_379_sesa|enemy_1007_slime_3|
uniequip_002_yuki_1|EquipmentDamageTotal|由非助战白雪累计造成120000点伤害|char_118_yuki|120000||||||||
uniequip_002_yuki_2|EquipmentCharKilledStage|3星通关主题曲S2-11; 必须编入非助战白雪并上场，且使用白雪歼灭至少至少15名敌人|3|sub_02-11|char_118_yuki|15|char_118_yuki||15|||
uniequip_002_dusk_1|EquipmentEventTotal|战斗中累计召唤非助战夕的召唤物20回|char_2015_dusk|SPAWN,token_10015_dusk_drgn|20|||||||
uniequip_002_dusk_2|EquipmentSquadPro|使用至多2人（包含助战）的队伍3星通关主题曲1-6；必须编入非助战夕并上场，其他成员仅可编入重装干员|3|main_01-06|char_2015_dusk|1,TANK|||1|TANK||
uniequip_002_mostma_1|EquipmentCharKilled|由非助战莫斯提马累计造成100歼灭数|char_213_mostma|100|char_213_mostma|||||||
uniequip_002_mostma_2|EquipmentEventStageKill|3星通关别传CB-5；必须编入非助战莫斯提马并上场，且使用莫斯提马歼灭至少8名敌人、其中包括至少1名欺凌者|3|act5d0_05|char_213_mostma|8|DEATHDETAIL,char_213_mostma,enemy_1058_traink|1|8|||
uniequip_002_lava2_1|EquipmentCharKilled|由非助战炎狱炎熔累计造成80歼灭数|char_1011_lava2|80|char_1011_lava2|||||||
uniequip_002_lava2_2|EquipmentEventStageKill|3星通关别传WR-4； 必须编入非助战炎狱炎熔并上场，且使用炎狱炎熔歼灭至少8名敌人、其中包括至少1名“偷闲”|3|act16d5_04|char_1011_lava2|8|DEATHDETAIL,char_1011_lava2,enemy_1125_spshld|1|8|||
uniequip_002_skfire_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战天火并上场，且每次战斗至少释放一次天坠之火|5|skchr_skfire_2|1|char_166_skfire|||char_166_skfire|||
uniequip_002_skfire_2|EquipmentEventStageKill|3星通关主题曲S3-5；必须编入非助战天火并上场，且使用天火歼灭至少10名敌人、其中包括至少2名屠夫|3|sub_03-2-3|char_166_skfire|10|DEATHDETAIL,char_166_skfire,enemy_1034_laxe|2|10|||
uniequip_002_lionhd_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战莱恩哈特并上场，且每次战斗至少释放4次解构与爆破|5|skchr_lionhd_2|4|char_373_lionhd|||char_373_lionhd|||
uniequip_002_lionhd_2|EquipmentEventStageMore|3星通关主题曲3-5；必须编入非助战莱恩哈特并上场，且莱恩哈特使用技能解构与爆破歼灭至少10名敌人|3|main_03-05|char_373_lionhd|DEATHDETAIL,skchr_lionhd_2|10||DEATHDETAIL|skchr_lionhd_2||
uniequip_002_fmout_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战远山并上场，且使用远山歼灭至少8名敌人|5|char_109_fmout|8|||||||
uniequip_002_fmout_2|EquipmentCharKilledStage|3星通关主题曲1-10；必须编入非助战远山并上场，且使用远山歼灭至少10名敌人|3|main_01-10|char_109_fmout|10|char_109_fmout||10|||
uniequip_002_greyy_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战格雷伊并上场，且使用格雷伊歼灭至少8名敌人|5|char_253_greyy|8|||||||
uniequip_002_greyy_2|EquipmentSquadPro|使用至多4人（包含助战）的队伍3星通关主题曲2-3；必须编入非助战格雷伊并上场，其他成员仅可编入先锋干员|3|main_02-03|char_253_greyy|3,PIONEER|||3|PIONEER||
uniequip_002_shwaz_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战黑并上场，且每次战斗至少释放2次战术的终结|5|skchr_shwaz_3|2|char_340_shwaz|||char_340_shwaz|||
uniequip_002_shwaz_2|EquipmentEventStageMore|3星通关别传OF-7；必须编入非助战黑并上场，且使用黑歼灭至少2个碎岩者|3|a003_07|char_340_shwaz|DEATHDETAIL,char_340_shwaz,enemy_1048_hirman|2||DEATHDETAIL|char_340_shwaz|enemy_1048_hirman|
uniequip_002_prove_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战普罗旺斯并上场，且使用普罗旺斯歼灭至少5名敌人|5|char_145_prove|5|||||||
uniequip_002_prove_2|EquipmentEventStageKill|3星通关主题曲S5-1；必须编入非助战普罗旺斯并上场，且使用普罗旺斯歼灭至少6名敌人，其中包括至少1个伐木老手|3|sub_05-1-1|char_145_prove|6|DEATHDETAIL,char_145_prove,enemy_1033_handax_2|1|6|||
uniequip_002_acdrop_1|EquipmentCharKilled|由非助战酸糖累计造成50歼灭数|char_366_acdrop|50|char_366_acdrop|||||||
uniequip_002_acdrop_2|EquipmentEventStageMore|3星通关主题曲2-8；必须编入非助战酸糖并上场，且使用酸糖歼灭至少1个磐蟹|3|main_02-08|char_366_acdrop|DEATHDETAIL,char_366_acdrop,enemy_1016_diaman|1||DEATHDETAIL|char_366_acdrop|enemy_1016_diaman|
uniequip_002_lisa_1|EquipmentSkillCast|战斗中非助战铃兰累计使用狐火渺然6次|char_358_lisa|skchr_lisa_3|6|char_358_lisa|||char_358_lisa|||
uniequip_002_lisa_2|EquipmentSquadProEx|3星通关别传TW-7；且仅可编入非助战铃兰1名辅助干员并上场|3|act11d0_07|char_358_lisa|SUPPORT|||SUPPORT|||
uniequip_002_aglina_1|EquipmentBattleCharKilled|完成5次战斗；必须编入非助战安洁莉娜并上场，且使用安洁莉娜歼灭至少7名敌人|5|char_291_aglina|7|||||||
uniequip_002_aglina_2|EquipmentSquadPro|3星通关主题曲4-4；必须编入非助战安洁莉娜并上场，其他成员仅可编入2名特种干员|3|main_04-04|char_291_aglina|2,SPECIAL|||2|SPECIAL||
uniequip_002_glacus_1|EquipmentEventTotal|由非助战格劳克斯累计歼灭20个无人机敌人|char_326_glacus|DEATHDETAIL,char_326_glacus,drone|20|||||||
uniequip_002_glacus_2|EquipmentEventStageMore|3星通关主题曲5-7；必须编入非助战格劳克斯并上场，且使用格劳克斯歼灭至少2个法术大师A1|3|main_05-07|char_326_glacus|DEATHDETAIL,char_326_glacus,enemy_1041_lazerd|2||DEATHDETAIL|char_326_glacus|enemy_1041_lazerd|
uniequip_002_glassb_1|EquipmentBattleCharDamage|完成5次战斗；必须编入非助战真理并上场，且使用真理造成至少25000点伤害|5|char_195_glassb|25000|||||||
uniequip_002_glassb_2|EquipmentSquadNum|3星通关主题曲2-3；必须编入非助战真理并上场，其他成员仅可编入6名干员|3|main_02-03|char_195_glassb|6|||6|||
uniequip_002_podego_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战波登可并上场，且每次战斗至少释放2次孢子扩散|5|skchr_podego_2|2|char_258_podego|||char_258_podego|||
uniequip_002_podego_2|EquipmentEventStageMore|3星通关主题曲4-6；必须编入非助战波登可并上场，且使用波登可歼灭至少2个高能源石虫|3|main_04-06|char_258_podego|DEATHDETAIL,char_258_podego,enemy_1021_bslime|2||DEATHDETAIL|char_258_podego|enemy_1021_bslime|
uniequip_002_skgoat_1|EquipmentSkillCast|由非助战地灵累计使用流沙化6次|char_183_skgoat|skchr_skgoat_2|6|char_183_skgoat|||char_183_skgoat|||
uniequip_002_skgoat_2|EquipmentSquadPro|3星通关插曲DM-2；必须编入非助战地灵并上场，其他成员仅可编入先锋与狙击干员|3|act9d0_02|char_183_skgoat|13,PIONEER;13,SNIPER|||13|PIONEER||
uniequip_002_ghost2_1|EquipmentCharKilled|由非助战归溟幽灵鲨累计造成30歼灭数|char_1023_ghost2|30|char_1023_ghost2|||||||
uniequip_002_ghost2_2|EquipmentEventStageMore|3星通关插曲SV-EX-1；必须编入非助战归溟幽灵鲨并上场，且使用归溟幽灵鲨歼灭至少1个囊海爬行者|3|act18d3_ex01|char_1023_ghost2|DEATHDETAIL,char_1023_ghost2,enemy_1152_dsurch|1||DEATHDETAIL|char_1023_ghost2|enemy_1152_dsurch|
uniequip_002_bena_1|EquipmentSkillCastBattle|完成5次战斗；必须编入非助战贝娜并上场，且每次战斗至少释放1次快速修剪|5|skchr_bena_2|1|char_369_bena|||char_369_bena|||
